word,index
bir,1
ve,2
bu,3
ne,4
gibi,5
o,6
kadar,7
büyük,8
da,9
sonra,10
ben,11
türk,12
diye,13
de,14
daha,15
için,16
bütün,17
dedi,18
her,19
hiç,20
nasıl,21
primo,22
içinde,23
fakat,24
ki,25
şey,26
yine,27
şimdi,28
artık,29
olan,30
küçük,31
vardı,32
en,33
çok,34
ile,35
kendi,36
onu,37
olduğunu,38
onun,39
değil,40
ama,41
yalnız,42
evet,43
gün,44
hayır,45
tekrar,46
biraz,47
on,48
bile,49
doğru,50
yok,51
sen,52
ya,53
baktı,54
i̇şte,55
hatta,56
iki,57
mi,58
babası,59
var,60
niçin,61
bin,62
hep,63
beyaz,64
sanki,65
sordu,66
başını,67
bana,68
yoktu,69
böyle,70
mı,71
beş,72
ah,73
başka,74
öyle,75
ona,76
pek,77
etti,78
sene,79
hemen,80
aldı,81
yere,82
başladı,83
adam,84
birkaç,85
kırmızı,86
yüz,87
türklerin,88
gece,89
vakit,90
önüne,91
beni,92
gözlerini,93
yavaş,94
eski,95
muhsin,96
acaba,97
birçok,98
birden,99
bunu,100
padişah,101
benim,102
yeni,103
saat,104
sana,105
hâlâ,106
düşman,107
câbî,108
idi,109
hiçbir,110
derin,111
hepsi,112
çıktı,113
kim,114
zaman,115
miydi,116
yarın,117
bunlar,118
yavrum,119
çelebi,120
mutlaka,121
mermer,122
üzerinde,123
hem,124
çünkü,125
kabul,126
zavallı,127
rahat,128
üzerine,129
gayet,130
kenan,131
i̇talyan,132
geçen,133
geldi,134
önünde,135
döndü,136
haydi,137
verdi,138
defa,139
bizim,140
üç,141
kızılelma,142
efendi,143
sabah,144
esir,145
eden,146
güzel,147
gözleri,148
bizi,149
asla,150
altında,151
işte,152
yürüdü,153
düşündü,154
girdi,155
önce,156
birdenbire,157
cevap,158
ediyor,159
karşı,160
yani,161
paşa,162
oğuz,163
grazia,164
senedir,165
gitti,166
yirmi,167
seni,168
genç,169
ellerini,170
olduğu,171
onlar,172
selahaddin,173
ancak,174
olsun,175
dâima,176
kırk,177
açtı,178
geçti,179
geniş,180
burada,181
senin,182
siyah,183
kadın,184
ağır,185
yüksek,186
beraber,187
yanına,188
son,189
padişahım,190
ediyordu,191
mıydı,192
hâlde,193
bugün,194
muydu,195
bilir,196
diyordu,197
kahraman,198
şeyler,199
biz,200
lâkin,201
rum,202
sadrazam,203
babasının,204
ihtiyar,205
tek,206
üstüne,207
olur,208
şüphesiz,209
oldu,210
mavi,211
gelen,212
deniz,213
söyle,214
şah,215
mümkün,216
durdu,217
olacaktı,218
içinden,219
açık,220
bakarak,221
haykırdı,222
yedi,223
i̇stanbula,224
dedim,225
koydu,226
uzun,227
karşısında,228
altın,229
sarı,230
merak,231
geri,232
dünyada,233
neresi,234
ziyâde,235
acı,236
ay,237
emine,238
başına,239
ayrı,240
onları,241
kimse,242
çıkardı,243
ha,244
salladı,245
i̇ki,246
orada,247
çıkan,248
akşam,249
şeyi,250
kendisini,251
düşünüyordu,252
olmayan,253
arasında,254
duran,255
herkes,256
arkasına,257
türkçe,258
osmanlı,259
bize,260
dadaruh,261
dışarıya,262
zapt,263
türkler,264
kendini,265
birtakım,266
insan,267
eline,268
eder,269
karar,270
sesi,271
olacak,272
beri,273
birer,274
oh,275
tuhaf,276
kapıdan,277
siz,278
yarım,279
müthiş,280
alçak,281
sabahleyin,282
mu,283
ilk,284
içine,285
olarak,286
rüzgâr,287
belki,288
evvel,289
yeşil,290
yabancı,291
bakıyordu,292
öptü,293
kalktı,294
söyledi,295
garip,296
demek,297
başı,298
duruyordu,299
hasan,300
gördü,301
çekti,302
koştu,303
ateş,304
annesi,305
yunan,306
muhârebe,307
hâlbuki,308
hepsini,309
kaldırdı,310
rüya,311
arkasından,312
keskin,313
evvelâ,314
kız,315
kara,316
elinde,317
oğlum,318
üstünde,319
olsa,320
tatlı,321
kendisi,322
tam,323
ettiler,324
kalan,325
el,326
başında,327
al,328
liyâkat,329
yoktur,330
değildir,331
lira,332
devam,333
olmuş,334
nihâyet,335
iyi,336
kaldı,337
düşünüyor,338
korkunç,339
kendine,340
dışarı,341
i̇skender,342
duyuyordu,343
yer,344
ettim,345
mukaddes,346
boş,347
onların,348
çocukları,349
etmek,350
istiyordu,351
eve,352
vahşi,353
sert,354
tamamıyla,355
istedi,356
meselesi,357
mösyö,358
orhan,359
derdi,360
binlerce,361
meselâ,362
pembe,363
parlak,364
ettiği,365
hava,366
nerede,367
ta,368
i̇stanbulda,369
buraya,370
giden,371
filan,372
duydu,373
kendisine,374
deli,375
şimdiye,376
neden,377
olmadığını,378
diğer,379
hızla,380
dikkat,381
ince,382
gönderdi,383
yüzünü,384
koca,385
indi,386
yanında,387
fazla,388
musunuz,389
kuvvetli,390
oğlu,391
hayatını,392
sonunda,393
dik,394
doğan,395
zayıf,396
kızılelmaya,397
halkın,398
minimini,399
bakıyor,400
annem,401
oluyordu,402
ederek,403
bulgar,404
ondan,405
mülâzım,406
kaşağıyı,407
babam,408
yalan,409
i̇htiyar,410
görüyordu,411
avrupalılar,412
i̇talyaya,413
elini,414
güneş,415
şu,416
milyon,417
elleriyle,418
geçmiş,419
hafta,420
buna,421
atladı,422
hakîkaten,423
geçiyor,424
hücum,425
burası,426
öyleyse,427
iyice,428
kalın,429
ali,430
evde,431
olmak,432
dün,433
niye,434
hayali,435
tarif,436
kere,437
âdeta,438
mademki,439
görünmez,440
puf,441
cesaret,442
hızlı,443
türlü,444
karanlık,445
tıpkı,446
aman,447
altından,448
sağ,449
gören,450
ihtimal,451
pekâlâ,452
doğruldu,453
tahta,454
asker,455
elleri,456
hâkim,457
düşünmeye,458
değildi,459
gelince,460
kişi,461
odasına,462
baş,463
onlara,464
hasta,465
gidiyordu,466
ileri,467
gene,468
türkleri,469
sekiz,470
olmaz,471
taş,472
sâkin,473
yıl,474
cesur,475
i̇smail,476
doğu,477
kan,478
uygun,479
yapıyor,480
aşağıya,481
türklük,482
babasına,483
primonun,484
buradan,485
dört,486
krallar,487
elli,488
i̇stanbul,489
kısa,490
dikkatle,491
verdiği,492
marangoz,493
yanlış,494
yeri,495
yerine,496
ömründe,497
avrupada,498
buldu,499
bakayım,500
geç,501
yüzünden,502
öbür,503
yoksa,504
fikri,505
hani,506
hayvan,507
bazen,508
gizli,509
gidiyor,510
sevgili,511
kenarına,512
başladım,513
edip,514
yüce,515
bazı,516
seninle,517
derece,518
sahip,519
dibinde,520
kapıya,521
gider,522
gözlerimi,523
hayal,524
galiba,525
sebep,526
esmer,527
i̇nce,528
kimi,529
halk,530
dünya,531
ey,532
gibiydi,533
nâzik,534
kadınlar,535
etmişti,536
pis,537
millî,538
yolu,539
ilâve,540
cem,541
inkâr,542
yüzüne,543
türkiyede,544
olduklarını,545
kalmıştı,546
altı,547
kalbi,548
elçi,549
kaftanı,550
mallarını,551
altına,552
yahudi,553
veya,554
ilan,555
vitalis,556
i̇ttihat,557
şapkalı,558
çocuk,559
türklüğün,560
revolveri,561
büyücü,562
sokağa,563
önünden,564
kıymetli,565
hayatın,566
hayat,567
para,568
şeye,569
adım,570
teselli,571
kaçtı,572
çirkin,573
bunun,574
nereye,575
görmemek,576
temiz,577
koyu,578
keser,579
kapısından,580
cevabını,581
elindeki,582
bakalım,583
fenâ,584
kendisiyle,585
başlayan,586
usta,587
dâir,588
karısı,589
kuzuyu,590
kuzu,591
görünce,592
kapıyı,593
evine,594
gündüz,595
ses,596
asıl,597
derenin,598
arkasında,599
uzak,600
açtım,601
önem,602
vardır,603
vay,604
musun,605
varsa,606
kuvvet,607
deta,608
sivrisinek,609
etmiş,610
tabiî,611
diyor,612
şaşkın,613
benzeyen,614
hizmet,615
bahçenin,616
oraya,617
uzattı,618
yüzüme,619
masanın,620
derecede,621
yapacağım,622
ansızın,623
ayağa,624
tuttu,625
vezirler,626
tahtın,627
rumeli,628
bağlı,629
halkı,630
bilmediği,631
padişahın,632
fânî,633
demişti,634
takip,635
pervin,636
onunla,637
erkek,638
olacağını,639
dua,640
kalmış,641
görülen,642
hangi,643
kalabalık,644
çıkararak,645
bayrak,646
adamın,647
efendim,648
iri,649
bulgarlar,650
millet,651
kestane,652
hürriyet,653
bayrakları,654
köpek,655
edecek,656
babamın,657
gelmez,658
at,659
hüngür,660
tarafı,661
ederdi,662
gelmişti,663
kalenin,664
askerler,665
olmuştu,666
kılıç,667
sessiz,668
babasıyla,669
savaş,670
bunları,671
kaftanın,672
fedâ,673
biri,674
selanik,675
düşmanları,676
asil,677
korsan,678
mason,679
geliyordu,680
avrupanın,681
razı,682
hükûmet,683
kızına,684
selaniki,685
dehşetli,686
düşmanın,687
düşmana,688
gerek,689
dünyanın,690
süslü,691
tarafa,692
hakîkat,693
olurdu,694
iftihar,695
hayatı,696
biriydi,697
yerlerde,698
verir,699
herkesi,700
göründü,701
etrafına,702
hoşuna,703
yukarı,704
ümit,705
durmadı,706
çalıştı,707
gidecekti,708
günü,709
birbirleriyle,710
kapadı,711
denizin,712
alev,713
parlıyordu,714
i̇çinde,715
planını,716
bıyıklı,717
tezgâhın,718
tezgâh,719
olursa,720
eskiden,721
güldü,722
şeyin,723
bakan,724
marangoza,725
senden,726
senelik,727
keserini,728
hafif,729
süzdü,730
adama,731
yavaşça,732
hakareti,733
nereden,734
sıktı,735
dişlerini,736
meşhur,737
diyorlardı,738
bahçeye,739
evi,740
içeri,741
kapının,742
üstündeki,743
erkenden,744
şaşırdı,745
çabuk,746
dayadı,747
benimle,748
evini,749
sabaha,750
aklı,751
arkasındaki,752
sapsarı,753
titriyordu,754
anlattı,755
sallanan,756
efruzcuğum,757
gürültü,758
saf,759
billûr,760
yerlere,761
dere,762
elinden,763
baktım,764
kelime,765
mektubunu,766
tutan,767
sefil,768
iken,769
size,770
yâhut,771
tarih,772
varlığını,773
sefer,774
istersen,775
ruhu,776
gelmiş,777
aklına,778
yerinden,779
arasına,780
yaptığı,781
sözde,782
mânevî,783
yapılacak,784
muhteşem,785
ruh,786
görüyor,787
amcamın,788
amcam,789
adamlar,790
geçer,791
uşak,792
demir,793
yapılmış,794
hele,795
çevirdi,796
gözlerinden,797
dibine,798
gördüm,799
dakika,800
heyhat,801
gülerek,802
söz,803
an,804
önemli,805
korkak,806
hâlinde,807
ordu,808
kabarıyor,809
yakın,810
parmaklarıyla,811
ediyorlardı,812
mükemmel,813
roma,814
çin,815
sizin,816
ise,817
hakkın,818
bilmeyen,819
meydana,820
adamı,821
etmedi,822
orası,823
gitmek,824
dışarıda,825
sâdık,826
hareket,827
eliyle,828
yerden,829
kollarını,830
ederim,831
ölmüş,832
bakıyordum,833
başının,834
duyuyor,835
zaten,836
kâbus,837
milletin,838
uzaktan,839
bey,840
ufaklı,841
fırsat,842
olsaydı,843
az,844
osmanlılık,845
ister,846
duruyor,847
vâkıa,848
düşmanlar,849
tanzimat,850
gidelim,851
veriyordu,852
gelir,853
boyun,854
atları,855
ertesi,856
gerindi,857
denize,858
geldiği,859
gitmişti,860
gözlerine,861
türküm,862
hâline,863
geçtiği,864
vatan,865
mor,866
sadrazamın,867
ölüm,868
biliyordu,869
göğsü,870
geçiyordu,871
ortaya,872
yiğit,873
kötü,874
kendisinin,875
yırtıcı,876
ayakta,877
türkün,878
tramvay,879
avrupa,880
hoş,881
yeniden,882
tarafından,883
avrupalıların,884
i̇talya,885
nişan,886
ordusu,887
garson,888
çocuğu,889
tercüman,890
şiddetle,891
adı,892
anlatıyordu,893
yapacaktı,894
taraf,895
ait,896
kanı,897
okula,898
dinliyor,899
teslim,900
babasını,901
muzaffer,902
aslan,903
hanım,904
alçaklar,905
şam,906
mustafa,907
askerlerinin,908
kurtar,909
kale,910
evinde,911
geçerken,912
sır,913
olmasın,914
dediği,915
başından,916
ağaçlarının,917
eğri,918
güzellik,919
allah,920
haberleri,921
çıkar,922
bozuk,923
şeyleri,924
çıkarmaya,925
hatırladı,926
aksi,927
duvarın,928
zavallıların,929
doluydu,930
kulak,931
hakîkati,932
kurdu,933
çalışıyordu,934
tezgâhı,935
hazır,936
tembel,937
misin,938
bak,939
cebinden,940
taktı,941
bıraktı,942
biliyorsun,943
işine,944
konuşurken,945
budala,946
et,947
topladı,948
boyalı,949
eşi,950
tanesini,951
zorla,952
karşısındaki,953
tane,954
toprak,955
sesini,956
kimdir,957
açıldı,958
çıplak,959
meçhul,960
tokat,961
oda,962
bakar,963
aldım,964
müydü,965
sessizlik,966
uzadıya,967
çıkarken,968
lacivert,969
yanındaki,970
ak,971
duvarlara,972
ahmet,973
bağırdı,974
bilmiyordu,975
bulunduğum,976
mü,977
oturdum,978
doldu,979
kulaklarına,980
muhterem,981
gelip,982
sende,983
söyleyeceğim,984
medeniyet,985
der,986
biliyorum,987
liyâkatin,988
meydan,989
zevk,990
veren,991
görmüş,992
küfür,993
başlar,994
ol,995
çatır,996
olmayacak,997
can,998
bırakan,999
yerde,1000
olmaya,1001
nefret,1002
yıllarca,1003
ahlâk,1004
i̇lâhî,1005
babasından,1006
duyduğu,1007
buyurun,1008
kaplı,1009
anahtar,1010
zannetti,1011
yorgun,1012
benziyordu,1013
mücevher,1014
heyecanlı,1015
ele,1016
mezar,1017
çıkıyordu,1018
olması,1019
bitirdikten,1020
almak,1021
çıkardılar,1022
yüzü,1023
yaptım,1024
görünen,1025
farkında,1026
bağ,1027
yetmiş,1028
korkma,1029
yanan,1030
duvarlarda,1031
yüzümü,1032
öpmeye,1033
